topic,category,question,answer,keywords,timestamp
Student Health Insurance Coverage,Academic,هل التأمين الصحي للطلاب يغطي جميع المستشفيات؟,التأمين حق الطلاب يغطي فقط حالات الطوارئ، وإذا كنت تود زيارة طبيب، يمكنك زيارة عيادة الجامعة مجانًا. إذا لم تناسبك عيادة الجامعة، يمكنك الذهاب لأي مستشفى ولكن ستحمل تكاليف العلاج على حسابك.,"['التأمين الصحي', 'الطلاب', 'عيادة الجامعة']",2023-11-09
Renewal of Health Insurance,Academic,كيف أتأكد من صلاحية تأمين الصحة؟,تأكد من صلاحية تأمينك الصحي عن طريق التحقق من تاريخ انتهاء بطاقتك. إذا انتهت صلاحية التأمين، قم بتجديده فورًا.,"['تأمين صحي', 'صلاحية', 'تجديد']",2023-11-10
University Dental Clinic Inquiry,Academic,هل يوجد رقم للتواصل مع عيادة الجامعة لزيارة طبيب أسنان؟,يمكنك التواصل مع عيادة الجامعة عبر الرابط التالي للتواصل: https://studentaffairs.utm.my/healthcentre/contact-us-2/,"['عيادة الأسنان', 'رقم التواصل', 'الجامعة']",2023-11-10
Student Visa Application Process,Visa/Immigration,كيف أتمكن من تعديل بياناتي الشخصية قبل الحصول على الشهادة؟,راسل الامد email amdug@utm.my واطلب منهم تحديث بياناتك.,"['تعديل بيانات', 'شهادة', 'الامد']",2023-11-13
University Market Hours,Student Life,متى يفتح سوق الجامعة؟,سوق الجامعة يفتح من بعد الظهر حتى الرابعة أو الخامسة مساءً، عادة أيام الأربعاء.,"['سوق الجامعة', 'أوقات العمل']",2023-11-13
Bus Service to University,Student Life,هل يوجد باص يذهب من المركز إلى جامعة UTMI؟,نعم، يوجد باص رقم E وC ينقل من المركز إلى UTMI.,"['باص', 'خدمة النقل', 'UTMI']",2023-11-14
Bus Service to AEON,Student Life,وش الباص الي يودي عند AEON؟,من الجماعه باص H يوديك الميديكل بعدين انزل امشي شويه.,"['bus', 'AEON']",2023-11-14
Traffic Violation Payment,Other,كيف اتاكد من مبلغ المخالفه وكيف اسددها اونلاين؟,ترسل إلى الرقم 1588 POLIS SAMAN وأنت تكتب رقم جوازك بدل النقاط.,"['traffic violation', 'payment', 'online']",2023-11-14
University Microsoft Account Issues,Academic,عندني مشكلة في تسجيل دخول حساب الميكروسوفت حق الجامعه، كيف اتواصل مع الجامعه؟,تستطيع مراسلتهم على software@utm.my.,"['Microsoft account', 'university support']",2023-11-14
Shipping Documents to Gulf Countries,Other,اذا ودي اشحن أوراق من ماليزيا لدول الخليج وش افضل طريقة؟,"DHL سريع، اسعاره للامارات: 0.5 Kg = RM 211, 1.5 Kg = RM 375.","['shipping', 'documents', 'DHL']",2023-11-14
Bank Account Opening Process,Visa/Immigration,هل اقدر افتح حساب في mybank؟ وكيف اسوي الورقة؟,روح مكان م استلمت الجواز و قول لهم ابغا افتح حساب بنكي.,"['bank account', 'opening', 'mybank']",2023-11-14
Driving License Acquisition in Malaysia,Other,كيف أحصل على رخصة قيادة سيارة في ماليزيا؟,تدفع رسوم التسجيل، تحضر كلاس نظري، ثم تختبر. إذا اجتزت، تحصل على رخصة مؤقتة وبعدها تدريب عملي واختبار مرور.,"['driving license', 'Malaysia', 'requirements']",2023-11-14
Daily Commute to University,Student Life,ابغى حل لمشكلتي في الانتقال من ميلانا الى الجامعة يومياً.,عندك باص الجامعة ساعة 7:30، أو جرب تشارك الرحلة مع الآخرين.,"['commute', 'university', 'bus schedule']",2023-11-15
Visa Extension for Master's Studies,Visa/Immigration,في احد مددوله الفيزا لمن قرر يكمل ماستر في UTM؟,في شيء اسمه progression visa، تروح إلى مكتب الانترناشونال وتقول لهم أنك ناوي تكمل ماجستير.,"['visa', ""master's degree"", 'progression visa']",2023-11-15
i-Kad Renewal Process,Visa/Immigration,ابغى اجدد i-kad وتاريخ انتهاء i-kad 2024/01/31، كيف الطريقة؟,جددها مع الفيزا، غالباً جوازك يفي بكل الاحتياجات.,"['i-kad', 'renewal', 'requirements']",2023-11-16
Documentation Requirement for Foundation Students,Academic,ورقة الحضور وورقة النتيجة اش بديلها لطالب فاونديشن؟,اطلبها من UTMSPACE Academic Office بإرسال ايميل إلى utmidp@utmspace.edu.my.,"['foundation', 'documentation', 'emails']",2023-11-16
Foundation Attendance Paper and Results,Academic,ورقة الحضور و ورقة النتيجة اش بديلها لطالب فاونديشن,مافي بديل. اطلبها من UTMSPACE Academic Office. ارسل لهم ايميل الى: utmidp@utmspace.edu.my. عرّف فيها عن نفسك اولاً (اسمك، رقم الماترك).,"['Foundation', 'attendance paper', 'results']",2023-11-16
Foundation Test Revision Classes,Academic,ما هي تفاصيل دروس تقوية لمراجعة Test 1 لمادة الرياضيات.,تاريخ: الجمعة، 17/11/2023. الوقت: 4:30 مساءا (أونلاين) على Zoom.,"['Foundation', 'revision classes', 'Test 1', 'mathematics']",2023-11-16
Insurance Card Printing,Student Life,بالنسبة للتأمين هل اقدر اطبعه كبطاقة ولا موجود في التطبيق فقط؟,اعتقد ماتقدر تطبعه اذا نظامه بتطبيق الجوال.,"['insurance', 'printing', 'application']",2023-11-17
Test Location for Foundation Students,Academic,هل الاختبارات للمستوى الأساسي تكون في PRZS؟,لا، ستكون في المكتبة الثانية الي في الcluster.,"['exams', 'foundation', 'PRZS']",2023-11-18
Foundation Program Fees,Academic,هل الطلاب الجدد لازم يدرسو foundation وكم سعر السمستر للفاونديشن والسمستر بعد الفاونديشن؟,"نعم، إلا لو درست في مدارس انترناشونال تدخل مباشرة. سعر Foundation = RM11,469 و 1-8 Semesters = RM64,848.","['tuition fees', 'foundation', 'semesters']",2023-11-19
Finding Cardboard for Project,Student Life,شباب محتاج كراتين (cardboard)عشان بروجكت لو حد معاه او يعرف فين بحصل يقلي بالله.,ممكن تلاقي في شوبي. شوف اي 99 قريب منك يعطوك مجانا.,"['cardboard', 'project', 'supplies']",2023-11-19
Course Attendance Policy,Academic,كم عندي غياب مسموح لماده كور 3 كريدت ولها كلاسين بالاسبوع ؟,80% اعتقد,"['غيب', 'كورس', '3 كريدت', 'كلاسين']",2023-11-21
Class Attendance Calculation,Academic,يعني كم كلاس 🙂,كلاسين بالأسبوع ومعك 14 أسبوع معناها 28 حصة لازم تحضر منها أقل شي 23-24 حصة,"['كлас', 'حضور', 'معادلة']",2023-11-21
Transcript Request Process,Academic,هل اقدر اطلب الترانسكريبت من الموقع ذا http://academic.utm.my/transcript/main.asp قبل لا استلم senate letter ؟,ايوه بس انت وحضك احيانا يعطوك حق ٧ سمسترات واحيانا حق ٨ بس انه عادي تقدم ايوه,"['ترانسكريبت', 'طلب', 'إجراءات']",2023-11-21
International Flight Information,Other,اي مبنى يكون للرحلات الدولية في مطار KL ؟,Klia 1 International,"['مطار', 'KL', 'رحلات دولية']",2023-11-25
Email for Academic Affairs,Academic,ممكن ايميل البندهاري؟,Bendahari-ukp@utm.my,"['إيميل', 'البندهاري']",2023-11-24
Student Activity Registration,Student Life,اقدر اسجل بأكثر من نشاط؟,لا فقط نشاط واحد,"['نشاط', 'تسجيل', 'فعاليات']",2023-11-21
Duplicate SIM Card Replacement Process,Visa/Immigration,هل يستطيع حامل شريحة u mobile المسجلة بجوازه أن يحصل على بديل إذا ضاعت؟ ما هي الإجراءات وياليت ترسلوا لنا مكان قريب من الجامعة.,بسيطة. روح أقرب فرع Umobile مع جوازك يخرجوها لك بـ10 رنجت خلال 10 دقائق. معاك فرع في Aeon Mall أو ذا قريب ديسا: https://maps.app.goo.gl/obsUytEp2nSu6a9R6,"['u mobile', 'duplicate SIM', 'lost SIM', 'Aeon Mall']",2023-11-25
Steps for Receiving Personal Bond,Visa/Immigration,ما هي خطوات استلام الpersonal bond؟,1️⃣ كنسل فيزتك في UTMi 2️⃣ روح البندهاري بيعطونك فورم تعبيه وترسله لهم ايميل 3️⃣ استنى فلوسك.,"['personal bond', 'visa cancellation', 'UTMi']",2023-11-25
Opening a Bank Account for International Students,Academic,مليت الفورم تبع UTM international لفتح الحساب البنكي، وايش الخطوه اللي بعدها؟ هل أقدر افتح في الفرع تبع جوهور بارو؟,اتوقع بس تجيب جوازك و اطبع الورق احتياط وبس ، بس الفرع مدري اتوقع الي جمب ايون مول بس تأكد. الوثائق المطلوبة تشمل: 1- UTMI pdf (مطبوع) 2- جوازك(الأصل مع طباعه) 3- EMGS ورقه فيها حق الي (مطبوع) 4- PAPER PERMISSION TO ENTER(مطبوع) 5- APPROVAL LETTER(مطبوع).,"['bank account', 'UTM', 'international students', 'Johor Bahru']",2023-11-26
Exam Preparation and Events,Academic,أين يمكنني الحصول على صور التكريم لبطولة؟,كل صور الفعاليات نجمعها ونرفعها لمعرض الاتحاد: https://t.me/issygallery.,"['event photography', 'exhibition', 'battle', 'ISS gallery']",2023-11-26
ISID Number Inquiry,Academic,ما هو ISID number؟,رقم يعطوك إياه في الماترك كارد يبدأ ب٢٠٢٣ إذا أنت مسجل هذه السنة.,"['ISID number', 'matric card']",2023-11-27
Student Visa Study Plan Request,Visa/Immigration,طلبوا مني study plan عشان تجديد الفيزا، هل أرسل ايميل لكلية الكهرباء او لازم اروح لهم ف2ف؟,طلبوها مني مره وأرسلت لي الكليه اياها ايميل بس ماردوا سريع فرحت للاوفيس عندهم.,"['study plan', 'visa renewal', 'email']",2023-11-27
Car Inspection Advice,Student Life,كيف يمكنني فحص السيارة قبل الشراء وما هي النصائح لذلك؟,قم بفحص السيارة من مركز أو ورشة ميكانيكية. يجب أن يكون سعر الفحص من 150 ل250 رينجت، ويفضل أن تأخذ معك زميل لمساعدتك في تدوين الملاحظات.,"['car inspection', 'used car', 'mechanic']",2023-11-27
Currency Exchange in Johor,Other,ما هو أفضل مكان سأحول فيه من ريال سعودي إلى رينغيت في جوهور؟,يمكنك صرف في المحلات المجاورة للإيو ن مول. اذا تبغى بنك، حاول تتأكد من الاسعار المختلفة قبل صرف. بعض المحلات لا تخصم رسوم على المبالغ الكبيرة.,"['currency exchange', 'Saudi riyal', 'Malaysian ringgit', 'Johor']",2023-11-28
Currency Exchange Locations,Student Life,أحد يعرف صرافه تصرف دينار كويتي أو عماني إلى رنجت؟,فيه زي المحل صغير ب aeon mall يصرف اغلب العملات.,"['صرافة', 'دينار كويتي', 'دينار عماني', 'رنجت']",2023-11-29
University Housing Registration,Academic,كيف يمكن التسجيل للحصول على سكن داخل الحرم الجامعي؟,التسجيل عبر النموذج المرفق أدناه: https://forms.gle/j1VgVsBHKhQPA4tL6. يرجى الانتباه إلى أن عدد الغرف المتاحة محدود جداً.,"['تسجيل سكن', 'جامعة', 'غرف']",2023-11-28
Passport Renewal Inquiry,Visa/Immigration,إذا جواز سفري انتهى بعد شهر، هل يعتبر جواز جديد بدلاً منتهي أو بدلاً تالف؟,بيركزوا على تاريخ الانتهاء الأصلي مش بعد التمديد، لا تقلق.,"['جواز سفر', 'تجديد', 'انتهاء']",2023-11-29
Visa Transfer Between Passports,Visa/Immigration,حاب استسفر عن جواز جديد وموعد تقديم لتجديد الفيزا، هل أحتاج أنقل الفيزا للجواز الجديد؟,قدم بالجوازين بدون ما تنقل الآن، وهم بيثبتوا الفيزا في الجواز الجديد.,"['تجديد الفيزا', 'جواز سفر', 'نقل الفيزا']",2023-11-29
Bank Account Opening Form,Academic,يا شباب أحد يرسلي الفورم حق فتح حساب بنكي حق الجامعة؟,تم إرسال الفورم.,"['فتح حساب بنك', 'جامعة']",2023-11-29
Withdrawal Limit from Western Union,Other,كيف أسحب حوالة من ويستر يونين بمبلغ كبير؟ هل هناك حدود سحب؟,جرب فرع مرشنتريد الي بالبردايم، اتصل عليهم قبل تروح عشان يكون معهم سيولة.,"['ويستر يونين', 'سحب', 'حدود']",2023-11-30
Short-Term Apartment Rental,Student Life,هل ممكن إيجاد شقة أو استوديو في جوهور لمدة شهر بسعر مناسب؟,جرب هذا الفرع، أرسل لي الموقع.,"['شقة', 'استوديو', 'إيجار', 'قصير الأجل']",2023-11-30
Visa Application for Singapore,Visa/Immigration,هل في مكتب يستخرج فيزا لسنغافورة وكم سعرها وكم تستغرق وقت لتصدر؟,DE KIM TOUR AND TRAVEL (J) SDN BHD 012-700 7663 https://maps.app.goo.gl/XchazUM5oRk5mao56 تاخذ ٥ ايام و سعرها ١٦٠ رنقت تقريباً.,"['visa', 'Singapore', 'application', 'DE KIM TOUR AND TRAVEL']",2023-10-01
Amendment Week Registration,Academic,شو ممكن أسوي لو تأخرت عن التسجيل؟,تقدر تسجل من الموقع أو تروح الاكاديمك اوفيس حق كليتك. لو تأخرت للأسبوع اللي بعده فيه غرامة.,"['registration', 'amendment week', 'academic office']",2023-10-02
Early Certificate Collection,Academic,استلام ال early certificate من اي مبنى؟,AMD https://maps.app.goo.gl/D62vn5mSPJSB1S7WA?g_st=ic,"['early certificate', 'collection', 'building']",2023-10-01
Travel Issues and Phone Tips,Student Life,ياشباب في حد واجهته مشكلة في شريحة u mobile بعد رجوعه إلى ماليزيا؟,في عدد من الطلاب صارت لهم هذي المشكله. خاصة اذا كان لهم مدة ما يستخدموا الشرايح. ف يمكنك تروح لأقرب فرع وتشوف اذا ممكن ترجعها.,"['travel', 'SIM card', 'u mobile', 'Malaysia']",2023-10-03
Certificate Authentication Before Returning,Visa/Immigration,يشباب انتوا سويتوا ختم للشهادة في السعودية ولا مايحتاج؟,اذا ما سويت ختم بسعودية ضروري تختمها من القنصليه السعودية هنا في ماليزيا على حد علمي.,"['certificate', 'authentication', 'Saudi Arabia', 'Malaysia']",2023-10-03
Renewal Issues with Insurance and Cards,Academic,احد عنده الرابط حق تجديد التأمين والبطاقة؟,تدخل من موقع utm portal.,"['insurance', 'card renewal', 'utm portal']",2023-10-03
Understanding Course Registration Process,Academic,هل الواحد يقدر يسوي amendment بدون ما يدفع رسوم التدريب ولا لازم يكون دافعها؟,اي outstanding عليك في الحساب كانت للتدريب او غيره حتى رنجت ما تقدر ضروري تصفي ال outstanding.,"['amendment', 'fees', 'training', 'UTM']",2023-10-03
E-Daftar Information,Academic,ما هو ال e daftar وكيف يمكنني التسجيل فيه؟,سجل عن طريق مكتب وتواصل معهم ليقوموا بمساعدتك، يمكنك الدخول ورفع معلوماتك في موقع ال e daftar.,"['e daftar', 'تسجيل', 'التعليم']",2023-10-03
Course Registration Issue,Academic,أنا سنة أولى بكلريوس لما أدخل الcourse registration يظهر لي كورس واحد فقط، هل هذا طبيعي؟,إذا كان هذ عادي، يتوجب عليك الذهاب إلى الأكاديميك أدفايزر ليسجل لك المواد.,"['course registration', 'first year', 'academic advisor']",2023-10-04
Travel Document Collection,Visa/Immigration,أين يمكنني تسليم الجواز واستلام الماتريك كارد؟,يمكنك تسليم الجواز إلى المكتب الدولي، أما بخصوص الماتريك كارد فاطلب من الشباب المساعدة.,"['جواز', 'ماتريك كارد', 'تسليم']",2023-10-04
Registration Opening,Academic,متى سيفتتح التسجيل للأمنيات؟,التسجيل للمادة سيبدأ يوم الأحد.,"['التسجيل', 'الأمنيات', 'المواد']",2023-10-04
Changing Currency,Other,هل يوجد مكان جيد لتغيير العملة قريب من UTM؟,يمكنك زيارة هذا المكان الذي حولت فيه، وكان سعر الدولار 4.66 رنقت.,"['تغيير العملة', 'سعر الدولار', 'UTM']",2023-10-04
Driving License in Malaysia,Visa/Immigration,هل الرخصة السعودية مقبولة في ماليزيا قانونياً؟,الرخصة السعودية الدولية ليست مقبولة كوسيلة قانونية للقيادة كمقيم. يمكنك الحصول على رخصة محلية.,"['رخصة قيادة', 'السعودية', 'ماليزيا']",2023-10-06
Student Club Exhibition,Student Life,هل بدأ معرض الأندية الجامعية؟,لم يبدأ بعد، يجب الانتظار حتى يتم الإعلان عن الموعد.,"['معرض الأندية', 'الطلاب', 'الفعاليات']",2023-10-08
University Clubs Exhibition Schedule,Student Life,هل بدأ معرض الاندية الجامعيه ولا باقي؟,غالبا يتأخر يا عزيزي. الآن الجامعه كلها مشغوله بالتسجيل والطلاب الجدد، امور النوادي يأخروها لبعدين.,"['معرض', 'الأندية الجامعية', 'موعد']",2023-10-08
Bank Branch Availability,Other,هل يوجد بنك RHB في الجامعة؟,ما في rhb في الجامعه، اقرب فرع في تون امينه.,"['بنك RHB', 'الجامعة', 'فرع']",2023-10-08
Excel Course Registration Steps,Academic,مين عنده خطوات تسجيل مادة excel ؟,راجع المقال المرفق للخطوات اللازمة.,"['Excel', 'تسجيل مادة', 'خطوات']",2023-10-09
Academic Calendar Inquiry,Academic,السلام عليكم ممكن التقويم الدراسي؟,تم توفير التقويم الدراسي في الملف المرفق.,"['التقويم الدراسي', ' أكاديمي']",2023-10-10
Obtaining Secondary School Certificate,Academic,هل ضروري أجيب الشهادة الثانوية الأصلية؟,ما حيكتمل تسجيلك الا بالشهادة الأصلية، والاسبوعين هذي ما جات الا كحلّ للطلاب اللي نسوا شهاداتهم.,"['شهادة ثانوية', 'تسجيل', 'ضروري']",2023-10-11
Fridge Regulations in KLG,Student Life,هل الثلاجات مسموحة في KLG؟,نعم ولكن لازم يكون فيه سبب وتقدم على فورم من عندهم وفيه رسوم إضافية.,"['ثلاجات', 'KLG', 'مسموحات']",2023-10-11
International Driving License,Other,هل في احد يخطط يطلع رخصة دولية من مكتب بأمريكا؟,تواصل معي خاص من أجل مشاركة رسوم التوصيل.,"['رخصة دولية', 'أمريكا', 'التوصيل']",2023-10-11
Transfer Money to Saudi Arabia,Other,إيش أفضل طريقه احمل فيها فلوس إلى السعودية من ماليزيا غير وسترن يونين؟,محوّل.,"['نقل أموال', 'ماليزيا', 'السعودية']",2023-10-12
Cooling Unit Metering,Other,ياشباب احد عنده فكره عن عدادات المكيفات؟,تلقاها في شوبي أو لازادا.,"['عداد مكيف', 'شراء', 'شوبي']",2023-10-12
Buying Laptop Charger,Other,من ويت اقدر اشتري شاحن لابتوب hp؟,تلقى هنا ان شاء الله في الرابط المرفق.,"['شاحن', 'لابتوب', 'HP']",2023-10-12
University Bank Card Usage,Academic,هل بطاقة الجامعة الجديدة فيها بطاقة بنك؟,بطاقة الماترك البنكية (الزرقاء) تعاملها كانها ماترك كارد عادية. استخدامات البنك متوفرة للطلاب الماليزيين فقط حالياً.,"['جامعة', 'بطاقة بنك', 'الطلاب الماليزيين']",2023-10-12
Changing University Card,Academic,كيف يمكنني تغيير بطاقتي الجامعية؟,الآن يمكن تغيير البطاقة في مكتب أمن الجامعة عند البوابة الداخلية للجامعة، ولكن يحتاج تفعيل الحساب البنكي بالذهاب لأقرب فرع.,"['تغيير البطاقة', 'مكتب الأمن', 'الحساب البنكي']",2023-10-12
Using Calculator During Exams,Academic,هل يمكنني استخدام الآلة الحاسبة في اختبارات الرياضيات؟,نعم، يمكنك استخدامها.,"['اختبار', 'آلة حاسبة', 'رياضيات']",2023-10-14
Visa Renewal Consequences,Visa/Immigration,ما هي العواقب إذا انتهت فيزتي ولم أقدم على تجديدها؟,هناك غرامة مالية حوالي ألف رنجت وقد تحدث مشاكل أخرى، لذلك حاول التقديم بأسرع ما يمكن.,"['فيزا', 'تجديد', 'غرامة مالية']",2023-10-15
BigPay Card Issues,Other,هل واجه أحدكم مشكلات في فتح حساب BigPay؟,نعم، قد يواجه بعض الأفراد صعوبات في عملية التحقق. من الأفضل التواصل مع الدعم الفني.,"['BigPay', 'حساب', 'مشكلات']",2023-10-15
Books for Islamic Outreach,Other,أين أستطيع شراء كتب دعوة للإسلام باللغة الصينية أو الإنجليزية؟,ما زلت أبحث عن مكان يبيع هذه الكتب ولم أجد أي معلومات دقيقة.,"['كتب', 'دعوة', 'إسلام']",2023-10-15
Pusat Kaunseling Visit,Student Life,هل يمكنكم إعطائي معلومات عن مركز الخدمات النفسية في الجامعة؟,Pusat Kaunseling: https://foursquare.com/v/53336949498edfd56d4efe48 فاتحين اليوم وغدًا حتى الساعة 5 عصرًا.,"['Pusat Kaunseling', 'جامعة', 'خدمات نفسية']",2023-10-16
Visa Extension for Passport,Visa/Immigration,كم مدة تمديد الجواز في ماليزيا؟,ب80 رنجت ويمتد لمدة سنتين.,"['تمديد الجواز', 'ماليزيا', 'مدته']",2023-10-16
Car Sales Inquiry,Other,من لديه سيارة للبيع؟,أي أحد عنده سيارة للبيع يراسلني.,"['سيارة', 'بيع']",2023-10-16
Master's and PhD Scholarship Opportunity,Academic,هل هناك منحة دراسية متاحة للماجستير أو الدكتوراه في تخصص علوم الحاسوب؟,نعم هناك منحة كاملة في جامعة UTP تحت إشراف الدكتور عرفات الدقم. للتواصل +60 11-1115 5401.,"['منحة دراسية', 'ماجستير', 'دكتوراه', 'علوم الحاسوب']",2023-10-17
Changing a PDF Submission in E-learning,Academic,كيف يمكنني تغيير ملف PDF الذي أرسلته في النظام الإلكتروني؟,احذفه وارفع واحد ثاني، يمكنك استخدام 'Edit submission' إذا كانت متاحة.,"['E-learning', 'PDF', 'تغيير']",2023-10-17
Furniture Market Timing,Student Life,متى يكون سوق الأثاث المستعمل في الجامعة مفتوحًا؟,يكون مفتوحًا من بعد الظهر حتى الرابعة.,"['سوق الأثاث', 'جامعة', 'مواعيد']",2023-10-17
Visa Deposit Refund,Visa/Immigration,هل يتم استرداد الديبوزيت عند إلغاء اشتراك الإنترنت؟,لا توجد ردود واضحة على ذلك.,"['استرداد', 'ديبوزيت', 'إنترنت']",2023-10-18
Water Filter Recommendations,Other,ما هو أفضل نوع فلتر للماء يمكنني شراؤه؟,Panasonic هو خيار جيد، ويمكن شراؤه من شوبي أو أيون.,"['فلتر ماء', 'شراء', 'Panasonic']",2023-10-17
Community Support for Palestine,Other,ماذا يمكن أن نفعل لدعم القضية الفلسطينية؟,يمكن الدعاء وتقديم الدعم المالي، والمشاركة في الوقفات الاحتجاجية.,"['فلسطين', 'دعم', 'تضامن']",2023-10-19
Support for Palestine,Other,كيف يمكنني مساعدة أهلنا في فلسطين؟,من كانت مقدرته الدعاء فليدعوا ومن كانت مقدرته التبرع يتبرع ومن كان يقدر ينصر بكلمه فلينصر.,"['فلسطين', 'دعم', 'التبرع', 'دعاء']",2023-10-19
RHB Bank Account Opening,Academic,ما هي الوثائق المطلوبة لفتح حساب في بنك RHB كطالب دولي؟,1. جواز السفر 2. تأشيرة الطالب 3. خطاب من الجامعة يثبت حالة الطالب 4. تأكيد EMGS لحالة الطالب الدولي 5. بطاقة المترجم من الجهتين 6. عنوان الإقامة. يجب إيداع أولي بقيمة 200 رينغت.,"['فتح حساب', 'بنك RHB', 'طلاب دوليين']",2023-10-21
STC Pay Transfer,Academic,كيف أحول من STC Pay إلى حسابي هنا في ماليزيا؟,اختر تحويل دولي وبعدها اختر ماليزيا وأدخل معلومات حسابك المحلي.,"['STC Pay', 'تحويل دولي', 'ماليزيا']",2023-10-21
Medical Facilities,Student Life,هل هناك مستشفى جيدة قريبة من هنا؟,ممتاز جدا لكنه غالي ويقبل تأمين الجامعة حسب الحالة.,"['مستشفى', 'علاج', 'تأمين']",2023-10-23
Travel Requirements to Egypt,Visa/Immigration,هل أحتاج إلى تأشيرة للسفر إلى مصر؟,يجب التأكد من المتطلبات الحالية، ولكن تأشيرة قد تكون مطلوبة.,"['مصر', 'تأشيرة', 'سفر']",2023-10-23
International Driving License,Other,كيف يمكنني استخراج رخصة قيادة دولية؟,تواصل مع شخص يؤدي دور استخراج رخصة قيادة دولية من دبي.,"['رخصة قيادة', 'دولية', 'استخراج']",2023-10-23
Entry and Exit Records,Academic,كيف يمكنني الحصول على سجلات الدخول والخروج الخاصة بي في ماليزيا؟,يمكنك الاستفسار من إدارة الهجرة أو البحث عبر الإنترنت عن الطريقة المتاحة.,"['سجلات دخول', 'سجلات خروج', 'ماليزيا']",2023-10-24
Aptis Exam Acceptance,Academic,هل تقبل الجامعة اختبار Aptis؟,لا، الجامعة لا تقبل هذا الاختبار.,"['اختبار Aptis', 'الجامعة', 'قبول']",2023-10-24
Receiving UTM Receipt,Visa/Immigration,كيف شكل الUTM Receipt (Original)؟,هم غالبًا ما يعطوه وقت تسليم جوازك ويطلبوه وقت ما يكون جوازك جاهز. فقط روح بال holding letter كافي ان شاء الله.,"['UTM Receipt', 'جواز', 'holding letter']",2023-10-25
Matric Card Collection,Student Life,فين UTM OFFICE لاستلام matric card؟,https://maps.app.goo.gl/aMeSJX92B3j7HcJS7,"['UTM OFFICE', 'matric card', 'التوجيه']",2023-10-25
Best Money Transfer Method,Finance,هل فيه افضل طريقه لتحويل فلوس من ماليزيا إلى الامارات (غير bigpay)؟,تستطيع استخدام طرق تحويل أخرى مثل Urpay أو البحث عن محلات أخرى.,"['تحويل فلوس', 'ماليزيا', 'الإمارات']",2023-10-25
Academic Office Location,Academic,أين الأكاديمي أوفيس حق البايومديكل؟,في الاوفيس حق الكهرباء.,"['Academic Office', 'بايو', 'دراسة']",2023-10-25
Visa Document Submission,Visa/Immigration,كيف ارفع explanation letter و study plan على الموقع؟,ممكن تجمعهم في ملف واحد.,"['visa', 'explanation letter', 'study plan']",2023-10-26
Transportation Schedule,Student Life,هل الباص من ميلانا للجامعه يشتغل اليوم؟,للأسف باص ميلانا مو شغال بالويكند لكن ممكن تستعمل تطبيق kumpool يوصلك الجامعة برينغيت.,"['bus schedule', 'ميلانا', 'الجامعة']",2023-10-28
International Money Transfer Inquiry,Finance,كم سعر الصرف في touch go لما تحول من بطاقة سعودية من الريال للرنجت؟,يمكن استخدام stcpay على حساب bigpay لتحسين سعر الصرف.,"['سعر الصرف', 'touch go', 'تحويل']",2023-10-26
Finding Key Duplication Service,Student Life,أين يمكنني أن أجد محل نسخ مفاتيح في Taman U؟,https://maps.app.goo.gl/ejDH2Bies7BWZ4yj9,"['نسخ مفاتيح', 'Taman U', 'خدمة']",2023-10-27
YSAG Student Group Registration,Student Life,هل يوجد رابط الانضمام لمجموعة YSAG للطلبة الجدد؟,يرجى الانضمام لمجموعة الطلاب الجدد للفاونديشن: https://chat.whatsapp.com/HyU0wt2Np772evX1tgVfNK,"['YSAG', 'students', 'WhatsApp group', 'foundation']",2023-10-30
Medical Care at University,Student Life,متى تقفل عيادة الجامعة؟,العيادة تقفل الساعة 5 وإذا كان هناك حالة طوارئ تظل مفتوحة 24 ساعة.,"['عيادة', 'مستشفى', 'طوارئ', 'ساعات العمل']",2023-10-30
Visa Cancellation Process,Visa/Immigration,هل يمكنني تقديم تذكرة طيران مزورة في إجراءات كنسلة الفيزا؟,قدمت بتذكرة مزورة ولكن يجب أن تكون على علم أنه قد يعطوك يومين بعد التاريخ المذكور في التذكرة.,"['تأشيرة', 'كنسلة', 'تذكرة طيران', 'مزورة']",2023-10-31
Changing Portal Password,Other,كيف أغير كلمة سر حسابي في البورتال؟,عذرًا لم يتم توفير إجابة محددة، يُمكنك البحث في الموقع الرسمي أو التواصل مع الدعم الفني للجامعة.,"['كلمة سر', 'بورتال', 'الجامعة']",2023-10-31
Student Course Registration,Academic,هل أستطيع أخذ مادتين Curriculum في السمستر الحالي؟,يعتمد على تخصصك، يمكنك مراجعة كتيب الطالب (handbook) لمعرفة عدد المواد التي يمكنك أخذها.,"['مادتين', 'Curriculum', 'تخصص', 'كتيب الطالب']",2023-10-31
"Transit Visa Inquiry for Shenzhen, China",Visa/Immigration,هل احتاج فيزا إذا عندي ترانزيت في Shenzhen الصين لأقل من ٦ ساعات نفس شركة الطيران؟,نعم تحتاج.,"['فيزا', 'ترانزيت', 'شنتشن', 'شركة الطيران']",2025-01-02
Transit Visa Inquiry for India,Visa/Immigration,اذا نزلت ترانزيت بالهند ساعتين هل احتاج فيزا؟,تحتاج فيزا إذا تذكرتك مصحوبة بتغيير مطار داخل الهند، وغالبا يكون هناك صالة انتظار مخصصة لأصحاب الترانزيت ولايستوجب عليك استخراج فيزا. فقط تأكد من عدم وجود تغيير اضطراري للمطار في الهند.,"['فيزا', 'ترانزيت', 'الهند', 'مطار']",2025-02-02
